id,in,out,total,,,,,
573,1,1,2,,,,,
574,2,0,2,,,,,
575,1,3,4,,,,,
576,2,1,3,,,,,
577,2,3,5,,,,,
578,2,1,3,,,,,
579,2,0,2,,,,,
580,1,1,2,,,,,
581,1,1,2,,,,,
582,2,2,4,,,,,
583,1,0,1,,,,,
584,1,0,1,,,,,
585,2,0,2,,,,,
586,1,1,2,,,,,
587,2,0,2,,,,,
588,1,0,1,,,,,
589,1,0,1,,,,,
590,2,0,2,,,,,
591,0,2,2,,,,,
592,1,1,2,,,,,
593,1,2,3,,,,,
594,0,2,2,,,,,
595,3,2,5,,,,,
596,1,1,2,,,,,
597,1,1,2,,,,,
598,0,3,3,,,,,
599,1,1,2,,,,,
600,1,0,1,,,,,
601,2,2,4,,,,,
602,4,3,7,,,,,
603,1,1,2,,,,,
604,1,1,2,,,,,
605,2,3,5,,,,,
606,1,1,2,,,,,
607,3,3,6,,,,,
608,1,1,2,,,,,
609,2,2,4,,,,,
610,1,1,2,,,,,
611,1,1,2,,,,,
612,1,1,2,,,,,
613,1,3,4,,,,,
614,1,2,3,,,,,
615,2,1,3,,,,,
616,0,2,2,,,,,
617,1,3,4,,,,,
618,1,1,2,,,,,
619,1,1,2,,,,,
620,2,2,4,,,,,
621,2,1,3,,,,,
622,3,2,5,,,,,
623,1,1,2,,,,,
624,1,3,4,,,,,
625,0,2,2,,,,,
626,2,0,2,,,,,
627,4,2,6,,,,,
628,1,2,3,,,,,
629,1,1,2,,,,,
630,2,2,4,,,,,
631,1,1,2,,,,,
632,2,2,4,,,,,
633,1,1,2,,,,,
634,1,1,2,,,,,
635,1,2,3,,,,,
636,1,2,3,,,,,
637,1,2,3,,,,,
638,1,1,2,,,,,
639,5,7,12,,,,,
640,1,1,2,,,,,
641,1,2,3,,,,,
642,1,1,2,,,,,
643,1,1,2,,,,,
644,3,3,6,,,,,
645,1,2,3,,,,,
646,2,4,6,,,,,
647,2,0,2,,,,,
648,2,0,2,,,,,
649,5,2,7,,,,,
650,1,2,3,,,,,
651,3,1,4,,,,,
652,2,2,4,,,,,
653,0,2,2,,,,,
654,1,2,3,,,,,
655,2,2,4,,,,,
656,4,1,5,,,,,
657,2,0,2,,,,,
658,1,3,4,,,,,
659,5,4,9,,,,,
660,2,3,5,,,,,
661,1,2,3,,,,,
662,2,0,2,,,,,
663,1,0,1,,,,,
664,1,1,2,,,,,
665,3,2,5,,,,,
666,0,2,2,,,,,
667,3,4,7,,,,,
668,1,1,2,,,,,
669,1,1,2,,,,,
670,4,4,8,,,,,
671,1,1,2,,,,,
672,1,2,3,,,,,
673,1,2,3,,,,,
674,1,1,2,,,,,
675,2,3,5,,,,,
676,1,1,2,,,,,
677,1,0,1,,,,,
678,1,1,2,,,,,
679,2,4,6,,,,,
680,2,1,3,,,,,
681,1,1,2,,,,,
682,3,4,7,,,,,
683,1,1,2,,,,,
684,2,3,5,,,,,
685,1,1,2,,,,,
686,4,1,5,,,,,
687,2,0,2,,,,,
688,1,1,2,,,,,
689,1,1,2,,,,,
690,4,4,8,,,,,
691,1,1,2,,,,,
692,2,0,2,,,,,
693,1,3,4,,,,,
694,2,1,3,,,,,
695,2,3,5,,,,,
696,2,1,3,,,,,
697,2,0,2,,,,,
698,1,1,2,,,,,
699,1,1,2,,,,,
700,2,2,4,,,,,
701,1,0,1,,,,,
702,1,0,1,,,,,
703,2,0,2,,,,,
704,1,1,2,,,,,
705,2,0,2,,,,,
706,1,0,1,,,,,
707,1,0,1,,,,,
708,2,0,2,,,,,
709,0,2,2,,,,,
710,1,1,2,,,,,
